"filename", "language", "TypeScript React", "TypeScript", "JSON", "Markdown", "JavaScript", "HTML", "CSS", "XML", "Ignore", "YAML", "comment", "blank", "total"
"c:\Users\emane\Desktop\App\Punto\src\theme\overrides\MuiIconButton.js", "JavaScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\emane\Desktop\App\Punto\src\theme\overrides\MuiInputBase.js", "JavaScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\emane\Desktop\App\Punto\src\theme\overrides\MuiLinearProgress.js", "JavaScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\emane\Desktop\App\Punto\src\theme\overrides\MuiListItemIcon.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\emane\Desktop\App\Punto\src\theme\overrides\MuiOutlinedInput.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\emane\Desktop\App\Punto\src\theme\overrides\MuiPaper.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\emane\Desktop\App\Punto\src\theme\overrides\MuiTableCell.js", "JavaScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\emane\Desktop\App\Punto\src\theme\overrides\MuiTableHead.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\emane\Desktop\App\Punto\src\theme\overrides\MuiTableRow.js", "JavaScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\emane\Desktop\App\Punto\src\theme\overrides\MuiToggleButton.js", "JavaScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\emane\Desktop\App\Punto\src\theme\overrides\MuiTypography.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\emane\Desktop\App\Punto\src\theme\overrides\index.js", "JavaScript", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 2, 36
"c:\Users\emane\Desktop\App\Punto\src\theme\palette.js", "JavaScript", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 5, 44
"c:\Users\emane\Desktop\App\Punto\src\theme\typography.js", "JavaScript", 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 2, 90
"c:\Users\emane\Desktop\App\Punto\src\types\apollo.ts", "TypeScript", 0, 519, 0, 0, 0, 0, 0, 0, 0, 0, 178, 160, 857
"c:\Users\emane\Desktop\App\Punto\src\types\react-table-config.d.ts", "TypeScript", 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 137
"c:\Users\emane\Desktop\App\Punto\src\types\store.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\emane\Desktop\App\Punto\src\types\types.ts", "TypeScript", 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 166
"c:\Users\emane\Desktop\App\Punto\src\utils\Constants.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"c:\Users\emane\Desktop\App\Punto\src\utils\TextFieldFormats.tsx", "TypeScript React", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 94
"c:\Users\emane\Desktop\App\Punto\src\utils\apolloClient.ts", "TypeScript", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 88
"c:\Users\emane\Desktop\App\Punto\src\utils\client.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 11, 3, 23
"c:\Users\emane\Desktop\App\Punto\src\utils\commonValidation.ts", "TypeScript", 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 103
"c:\Users\emane\Desktop\App\Punto\src\utils\functions.ts", "TypeScript", 0, 1105, 0, 0, 0, 0, 0, 0, 0, 0, 9, 37, 1151
"c:\Users\emane\Desktop\App\Punto\src\utils\history.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5
"c:\Users\emane\Desktop\App\Punto\src\utils\mutations.ts", "TypeScript", 0, 197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 207
"c:\Users\emane\Desktop\App\Punto\src\utils\queries.ts", "TypeScript", 0, 205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 214
"c:\Users\emane\Desktop\App\Punto\src\utils\useRouter.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\emane\Desktop\App\Punto\src\views\Articulos\Articulos.tsx", "TypeScript React", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 72
"c:\Users\emane\Desktop\App\Punto\src\views\Articulos\index.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
